YYMMDD;TIME;LOCATION;DEPTH;MAG;EVALMODE;Latitude;Longitude
19961016;5090010;Amen;30;13;manual;52,941;6,61
19961116;3334987;Zeerijp;30;13;manual;53,355;6,755
19961117;4595205;Wachtum;30;22;manual;52,724;6,732
19961130;20265795;Nietap;30;10;manual;53,165;6,41
19961206;16464800;Roswinkel;15;16;manual;52,835;7,53
19961216;16011516;Wildervank;30;5;manual;53,72;6,815
19961216;16065021;Wildervank;30;-1;manual;53,78;6,822
19961226;19520557;Overschild;30;-2;manual;53,261;6,765
19961228;540857;Bunne;30;19;manual;53,107;6,505
19961228;18165658;Roswinkel;20;27;manual;52,834;7,43
19961228;23394690;Bunne;30;18;manual;53,111;6,502
19970108;1205449;Westeremden;30;15;manual;53,338;6,713
19970114;21134062;Ekehaar;30;7;manual;52,943;6,577
19970116;124739;Roswinkel;20;24;manual;52,835;7,46
19970124;4000454;Zuidlaren;30;6;manual;53,79;6,678
19970217;7205523;Zijldijk;30;16;manual;53,387;6,752
19970217;11160047;Geelbroek;30;12;manual;52,947;6,568
19970219;21535081;Roswinkel;20;34;manual;52,832;7,38
19970226;19312243;Laar (Duitsland);30;12;manual;52,642;6,803
19970302;15253254;Pieterzijl;30;13;manual;53,288;6,267
19970308;14290428;Borgercompagnie;30;-8;manual;53,106;6,815
19970325;130774;Overschild;30;-2;manual;53,252;6,748
19970401;341904;Emmen;30;14;manual;52,768;6,873
19970409;22214397;Noordbroek;30;5;manual;53,2;6,865
19970417;20280290;Roswinkel;20;8;manual;52,834;7,53
19970429;18164634;Schildwolde;30;14;manual;53,249;6,803
19970504;2423974;Meedhuizen;30;11;manual;53,3;6,93
19970504;4290985;Hoogezand;30;8;manual;53,144;6,737
19970519;15435909;Roswinkel;20;13;manual;52,836;7,53
19970606;19391888;Tjuchem;30;12;manual;53,292;6,875
19970619;23192556;Zeerijp;30;18;manual;53,364;6,753
19970620;453770;Roswinkel;20;18;manual;52,831;7,55
