"ID";"Geslacht";"Leeftijd";"Marges";"Perioden";"Ondergewicht_1";"NormaalGewicht_2";"Overgewicht_3";"MatigOvergewicht_4";"ErnstigOvergewicht_5";"OpgegevenLengte20JaarOfOuder_6";"OpgegevenGewicht20JaarOfOuder_7"
"0";"T001038";"10000";"MW00000";"1981JJ00";"     3.3";"    69.3";"    27.4";"22.9";"4.4";"   171.5";"    70.6"
"1";"T001038";"10000";"MW00000";"1982JJ00";"     3.7";"    69.5";"    26.7";"22.6";"4.1";"   171.5";"    70.4"
"2";"T001038";"10000";"MW00000";"1983JJ00";"     3.7";"    68.9";"    27.4";"23.1";"4.3";"   171.6";"    70.6"
"3";"T001038";"10000";"MW00000";"1984JJ00";"     3.9";"    68.7";"    27.3";"22.8";"4.5";"   171.8";"    70.8"
"4";"T001038";"10000";"MW00000";"1985JJ00";"     4.0";"    68.7";"    27.3";"22.9";"4.3";"   171.8";"    70.7"
"5";"T001038";"10000";"MW00000";"1986JJ00";"     4.1";"    67.8";"    28.1";"23.9";"4.2";"   172.0";"    71.1"
"6";"T001038";"10000";"MW00000";"1987JJ00";"     3.4";"    67.5";"    29.1";"24.6";"4.5";"   172.2";"    71.5"
"7";"T001038";"10000";"MW00000";"1988JJ00";"     3.5";"    68.1";"    28.4";"24.2";"4.1";"   172.4";"    71.4"
"8";"T001038";"10000";"MW00000";"1989JJ00";"     3.3";"    66.8";"    29.9";"24.5";"5.4";"   172.3";"    72.0"
"9";"T001038";"10000";"MW00000";"1990JJ00";"     3.6";"    66.4";"    30.0";"24.4";"5.6";"   172.8";"    72.1"
"10";"T001038";"10000";"MW00000";"1991JJ00";"     3.2";"    66.3";"    30.5";"25.4";"5.1";"   172.7";"    72.2"
"11";"T001038";"10000";"MW00000";"1992JJ00";"     3.5";"    64.9";"    31.7";"26.0";"5.6";"   172.7";"    72.5"
"12";"T001038";"10000";"MW00000";"1993JJ00";"     3.5";"    64.8";"    31.7";"26.0";"5.7";"   173.0";"    72.6"
"13";"T001038";"10000";"MW00000";"1994JJ00";"     3.0";"    63.8";"    33.1";"26.8";"6.4";"   173.0";"    73.2"
"14";"T001038";"10000";"MW00000";"1995JJ00";"     3.2";"    64.4";"    32.5";"26.2";"6.2";"   173.1";"    73.3"
"15";"T001038";"10000";"MW00000";"1996JJ00";"     3.8";"    62.5";"    33.7";"27.4";"6.3";"   173.3";"    73.5"
"16";"T001038";"10000";"MW00000";"1997JJ00";"     3.0";"    62.2";"    34.8";"27.6";"7.2";"   173.6";"    74.4"
"17";"T001038";"10000";"MW00000";"1998JJ00";"     2.9";"    62.4";"    34.7";"27.4";"7.3";"   173.6";"    74.3"
"18";"T001038";"10000";"MW00000";"1999JJ00";"     2.9";"    60.9";"    36.2";"28.7";"7.6";"   173.7";"    75.0"
"19";"T001038";"10000";"MW00000";"2000JJ00";"     2.7";"    59.6";"    37.7";"29.6";"8.1";"   174.0";"    75.6"
"20";"T001038";"10000";"MW00000";"2001JJ00";"     2.6";"    59.0";"    38.4";"30.1";"8.2";"   174.0";"    75.9"
"21";"T001038";"10000";"MW00000";"2002JJ00";"     2.8";"    58.7";"    38.5";"29.9";"8.6";"   173.8";"    75.8"
"22";"T001038";"10000";"MW00000";"2003JJ00";"     2.5";"    58.3";"    39.2";"29.8";"9.4";"   174.0";"    76.2"
"23";"T001038";"10000";"MW00000";"2004JJ00";"     2.5";"    57.4";"    40.1";"30.4";"9.7";"   173.9";"    76.5"
"24";"T001038";"10000";"MW00000";"2005JJ00";"     2.5";"    58.6";"    38.9";"29.5";"9.3";"   174.0";"    76.2"
"25";"T001038";"10000";"MW00000";"2006JJ00";"     2.5";"    57.8";"    39.8";"30.0";"9.8";"   174.1";"    76.6"
"26";"T001038";"10000";"MW00000";"2007JJ00";"     2.5";"    58.5";"    39.0";"29.2";"9.8";"   174.1";"    76.5"
"27";"T001038";"10000";"MW00000";"2008JJ00";"     2.5";"    57.0";"    40.5";"30.7";"9.8";"   174.2";"    76.8"
"28";"T001038";"10000";"MW00000";"2009JJ00";"     2.4";"    56.7";"    40.8";"30.6";"10.2";"   174.1";"    76.9"
"29";"T001038";"10000";"MW00000";"2010JJ00";"     2.3";"    56.0";"    41.7";"31.9";"9.8";"   174.2";"    77.0"
"30";"T001038";"10000";"MW00000";"2011JJ00";"     2.2";"    56.1";"    41.7";"31.9";"9.8";"   174.2";"    77.0"
"31";"T001038";"10000";"MW00000";"2012JJ00";"     2.3";"    56.2";"    41.5";"31.3";"10.2";"   174.2";"    77.0"
"32";"T001038";"10000";"MW00000";"2013JJ00";"     2.5";"    55.9";"    41.6";"31.5";"10.1";"   174.1";"    77.0"
"33";"T001038";"10000";"MW00000";"2014JJ00";"     2.0";"    54.9";"    43.1";"31.5";"11.7";"   174.0";"    77.7"
"34";"T001038";"10000";"MW00000";"2015JJ00";"     2.3";"    54.7";"    43.0";"31.4";"11.6";"   174.0";"    77.5"
"35";"T001038";"10000";"MW00000";"2016JJ00";"     2.4";"    54.3";"    43.3";"31.1";"12.3";"   174.1";"    77.8"
"36";"T001038";"10000";"MW00000";"2017JJ00";"     2.3";"    54.7";"    43.1";"31.0";"12.1";"   174.1";"    78.0"
"37";"T001038";"10000";"MW00000";"2018JJ00";"     2.2";"    53.9";"    43.9";"31.0";"13.0";"   174.2";"    78.4"
"38";"T001038";"10000";"MW00000";"2019JJ00";"     2.5";"    53.4";"    44.1";"31.4";"12.7";"   174.2";"    78.2"
"39";"T001038";"10000";"MW00000";"1981X001";"     3.7";"    69.1";"    27.2";"22.9";"4.3";"   171.6";"    70.6"
"40";"T001038";"10000";"MW00000";"1985X001";"     3.8";"    68.0";"    28.2";"23.9";"4.3";"   172.1";"    71.2"
"41";"T001038";"10000";"MW00000";"1989X001";"     3.4";"    66.1";"    30.5";"25.1";"5.4";"   172.6";"    72.2"
"42";"T001038";"10000";"MW00000";"1993X001";"     3.4";"    63.9";"    32.7";"26.6";"6.1";"   173.1";"    73.2"
"43";"T001038";"10000";"MW00000";"1997X001";"     2.8";"    61.3";"    35.9";"28.3";"7.6";"   173.7";"    74.8"
"44";"T001038";"10000";"MW00000";"2001X001";"     2.6";"    58.3";"    39.1";"30.1";"9.0";"   173.9";"    76.1"
"45";"T001038";"10000";"MW00000";"2005X001";"     2.5";"    58.0";"    39.6";"29.9";"9.7";"   174.1";"    76.5"
"46";"T001038";"10000";"MW00000";"2009X001";"     2.3";"    56.3";"    41.4";"31.4";"10.0";"   174.2";"    77.0"
"47";"T001038";"10000";"MW00000";"2013X001";"     2.3";"    54.9";"    42.8";"31.4";"11.4";"   174.1";"    77.5"
"48";"T001038";"10000";"B000150";"1981JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"49";"T001038";"10000";"B000150";"1982JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"50";"T001038";"10000";"B000150";"1983JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"51";"T001038";"10000";"B000150";"1984JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"52";"T001038";"10000";"B000150";"1985JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"53";"T001038";"10000";"B000150";"1986JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"54";"T001038";"10000";"B000150";"1987JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.2"
"55";"T001038";"10000";"B000150";"1988JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.2"
"56";"T001038";"10000";"B000150";"1989JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"57";"T001038";"10000";"B000150";"1990JJ00";"     0.2";"     0.6";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"58";"T001038";"10000";"B000150";"1991JJ00";"     0.2";"     0.6";"     0.6";"0.5";"0.3";"     0.1";"     0.2"
"59";"T001038";"10000";"B000150";"1992JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"60";"T001038";"10000";"B000150";"1993JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"61";"T001038";"10000";"B000150";"1994JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"62";"T001038";"10000";"B000150";"1995JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"63";"T001038";"10000";"B000150";"1996JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"64";"T001038";"10000";"B000150";"1997JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.3";"     0.1";"     0.1"
"65";"T001038";"10000";"B000150";"1998JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"66";"T001038";"10000";"B000150";"1999JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"67";"T001038";"10000";"B000150";"2000JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"68";"T001038";"10000";"B000150";"2001JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"69";"T001038";"10000";"B000150";"2002JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"70";"T001038";"10000";"B000150";"2003JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"71";"T001038";"10000";"B000150";"2004JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"72";"T001038";"10000";"B000150";"2005JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"73";"T001038";"10000";"B000150";"2006JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"74";"T001038";"10000";"B000150";"2007JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"75";"T001038";"10000";"B000150";"2008JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"76";"T001038";"10000";"B000150";"2009JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"77";"T001038";"10000";"B000150";"2010JJ00";"     0.1";"     0.4";"     0.4";"0.4";"0.2";"     0.1";"     0.1"
"78";"T001038";"10000";"B000150";"2011JJ00";"     0.1";"     0.4";"     0.4";"0.4";"0.3";"     0.1";"     0.1"
"79";"T001038";"10000";"B000150";"2012JJ00";"     0.1";"     0.4";"     0.4";"0.4";"0.3";"     0.1";"     0.1"
"80";"T001038";"10000";"B000150";"2013JJ00";"     0.1";"     0.4";"     0.4";"0.4";"0.3";"     0.1";"     0.1"
"81";"T001038";"10000";"B000150";"2014JJ00";"     0.1";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"82";"T001038";"10000";"B000150";"2015JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"83";"T001038";"10000";"B000150";"2016JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.4";"     0.1";"     0.2"
"84";"T001038";"10000";"B000150";"2017JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"85";"T001038";"10000";"B000150";"2018JJ00";"     0.1";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"86";"T001038";"10000";"B000150";"2019JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
"87";"T001038";"10000";"B000150";"1981X001";"     0.1";"     0.2";"     0.2";"0.2";"0.1";"     0.1";"     0.1"
"88";"T001038";"10000";"B000150";"1985X001";"     0.1";"     0.3";"     0.2";"0.2";"0.1";"     0.1";"     0.1"
"89";"T001038";"10000";"B000150";"1989X001";"     0.1";"     0.3";"     0.3";"0.3";"0.1";"     0.1";"     0.1"
"90";"T001038";"10000";"B000150";"1993X001";"     0.1";"     0.3";"     0.3";"0.2";"0.1";"     0.1";"     0.1"
"91";"T001038";"10000";"B000150";"1997X001";"     0.1";"     0.3";"     0.2";"0.2";"0.1";"     0.1";"     0.1"
"92";"T001038";"10000";"B000150";"2001X001";"     0.1";"     0.3";"     0.3";"0.2";"0.1";"     0.1";"     0.1"
"93";"T001038";"10000";"B000150";"2005X001";"     0.1";"     0.3";"     0.3";"0.2";"0.2";"     0.1";"     0.1"
"94";"T001038";"10000";"B000150";"2009X001";"     0.1";"     0.2";"     0.2";"0.2";"0.1";"     0.1";"     0.1"
"95";"T001038";"10000";"B000150";"2013X001";"     0.1";"     0.3";"     0.3";"0.2";"0.2";"     0.1";"     0.1"
"96";"T001038";"80018";"MW00000";"1981JJ00";"     5.3";"    84.6";"    10.1";"8.0";"2.1";"";""
"97";"T001038";"80018";"MW00000";"1982JJ00";"     6.5";"    85.2";"     8.4";"6.8";"1.5";"";""
"98";"T001038";"80018";"MW00000";"1983JJ00";"     6.3";"    85.0";"     8.7";"6.6";"2.1";"";""
"99";"T001038";"80018";"MW00000";"1984JJ00";"     6.1";"    86.0";"     7.9";"6.3";"1.6";"";""
"100";"T001038";"80018";"MW00000";"1985JJ00";"     7.0";"    84.5";"     8.6";"6.7";"1.9";"";""
"101";"T001038";"80018";"MW00000";"1986JJ00";"     7.7";"    85.1";"     7.2";"5.9";"1.3";"";""
"102";"T001038";"80018";"MW00000";"1987JJ00";"     7.5";"    84.3";"     8.2";"7.0";"1.2";"";""
"103";"T001038";"80018";"MW00000";"1988JJ00";"     7.4";"    85.0";"     7.6";"6.3";"1.3";"";""
"104";"T001038";"80018";"MW00000";"1989JJ00";"     7.3";"    83.5";"     9.2";"7.7";"1.5";"";""
"105";"T001038";"80018";"MW00000";"1990JJ00";"     7.3";"    81.7";"    11.0";"7.8";"3.2";"";""
"106";"T001038";"80018";"MW00000";"1991JJ00";"     7.1";"    81.8";"    11.1";"9.3";"1.8";"";""
"107";"T001038";"80018";"MW00000";"1992JJ00";"     7.5";"    81.1";"    11.4";"9.5";"1.9";"";""
"108";"T001038";"80018";"MW00000";"1993JJ00";"     6.9";"    81.8";"    11.3";"8.0";"3.3";"";""
"109";"T001038";"80018";"MW00000";"1994JJ00";"     6.1";"    82.9";"    11.0";"7.9";"3.1";"";""
"110";"T001038";"80018";"MW00000";"1995JJ00";"     6.9";"    84.0";"     9.1";"6.8";"2.3";"";""
"111";"T001038";"80018";"MW00000";"1996JJ00";"     8.9";"    80.1";"    11.0";"8.4";"2.6";"";""
"112";"T001038";"80018";"MW00000";"1997JJ00";"     7.1";"    81.1";"    11.8";"9.2";"2.6";"";""
"113";"T001038";"80018";"MW00000";"1998JJ00";"     6.6";"    82.2";"    11.2";"8.9";"2.4";"";""
"114";"T001038";"80018";"MW00000";"1999JJ00";"     6.8";"    81.7";"    11.4";"9.1";"2.3";"";""
"115";"T001038";"80018";"MW00000";"2000JJ00";"     6.8";"    81.8";"    11.4";"9.3";"2.1";"";""
"116";"T001038";"80018";"MW00000";"2001JJ00";"     6.1";"    82.1";"    11.8";"9.2";"2.5";"";""
"117";"T001038";"80018";"MW00000";"2002JJ00";"     6.9";"    81.2";"    11.8";"9.1";"2.7";"";""
"118";"T001038";"80018";"MW00000";"2003JJ00";"     5.4";"    84.2";"    10.4";"7.8";"2.6";"";""
"119";"T001038";"80018";"MW00000";"2004JJ00";"     5.6";"    81.8";"    12.5";"9.8";"2.8";"";""
"120";"T001038";"80018";"MW00000";"2005JJ00";"     5.5";"    81.7";"    12.9";"10.7";"2.2";"";""
"121";"T001038";"80018";"MW00000";"2006JJ00";"     6.1";"    82.7";"    11.2";"9.2";"2.0";"";""
"122";"T001038";"80018";"MW00000";"2007JJ00";"     5.3";"    83.3";"    11.4";"9.0";"2.4";"";""
"123";"T001038";"80018";"MW00000";"2008JJ00";"     4.7";"    81.9";"    13.4";"10.5";"2.9";"";""
"124";"T001038";"80018";"MW00000";"2009JJ00";"     5.9";"    80.9";"    13.1";"11.0";"2.2";"";""
"125";"T001038";"80018";"MW00000";"2010JJ00";"     5.0";"    81.5";"    13.6";"10.5";"3.1";"";""
"126";"T001038";"80018";"MW00000";"2011JJ00";"     5.5";"    81.7";"    12.8";"10.1";"2.7";"";""
"127";"T001038";"80018";"MW00000";"2012JJ00";"     4.9";"    81.9";"    13.2";"10.8";"2.4";"";""
"128";"T001038";"80018";"MW00000";"2013JJ00";"     5.9";"    82.3";"    11.8";"9.5";"2.3";"";""
"129";"T001038";"80018";"MW00000";"2014JJ00";"     4.6";"    82.9";"    12.5";"9.2";"3.3";"";""
"130";"T001038";"80018";"MW00000";"2015JJ00";"     5.2";"    82.7";"    12.1";"9.3";"2.8";"";""
"131";"T001038";"80018";"MW00000";"2016JJ00";"     5.7";"    80.9";"    13.4";"10.6";"2.7";"";""
"132";"T001038";"80018";"MW00000";"2017JJ00";"     5.4";"    81.3";"    13.3";"10.5";"2.8";"";""
"133";"T001038";"80018";"MW00000";"2018JJ00";"     5.3";"    81.9";"    12.8";"10.2";"2.6";"";""
"134";"T001038";"80018";"MW00000";"2019JJ00";"     5.8";"    80.4";"    13.9";"11.6";"2.2";"";""
"135";"T001038";"80018";"MW00000";"1981X001";"     6.0";"    85.2";"     8.8";"6.9";"1.8";"";""
"136";"T001038";"80018";"MW00000";"1985X001";"     7.4";"    84.7";"     7.9";"6.5";"1.4";"";""
"137";"T001038";"80018";"MW00000";"1989X001";"     7.3";"    82.0";"    10.7";"8.6";"2.1";"";""
"138";"T001038";"80018";"MW00000";"1993X001";"     7.2";"    82.2";"    10.6";"7.8";"2.8";"";""
"139";"T001038";"80018";"MW00000";"1997X001";"     6.8";"    81.7";"    11.4";"9.1";"2.3";"";""
"140";"T001038";"80018";"MW00000";"2001X001";"     6.0";"    82.3";"    11.6";"9.0";"2.6";"";""
"141";"T001038";"80018";"MW00000";"2005X001";"     5.4";"    82.4";"    12.2";"9.9";"2.4";"";""
"142";"T001038";"80018";"MW00000";"2009X001";"     5.3";"    81.5";"    13.2";"10.6";"2.6";"";""
"143";"T001038";"80018";"MW00000";"2013X001";"     5.4";"    82.2";"    12.5";"9.6";"2.8";"";""
"144";"T001038";"80018";"B000150";"1981JJ00";"     0.5";"     0.7";"     0.6";"0.6";"0.3";"";""
"145";"T001038";"80018";"B000150";"1982JJ00";"     0.5";"     0.8";"     0.6";"0.5";"0.3";"";""
"146";"T001038";"80018";"B000150";"1983JJ00";"     0.5";"     0.8";"     0.6";"0.5";"0.3";"";""
"147";"T001038";"80018";"B000150";"1984JJ00";"     0.5";"     0.7";"     0.6";"0.5";"0.3";"";""
"148";"T001038";"80018";"B000150";"1985JJ00";"     0.6";"     0.8";"     0.6";"0.6";"0.3";"";""
"149";"T001038";"80018";"B000150";"1986JJ00";"     0.6";"     0.8";"     0.6";"0.5";"0.2";"";""
"150";"T001038";"80018";"B000150";"1987JJ00";"     0.6";"     0.9";"     0.7";"0.6";"0.3";"";""
"151";"T001038";"80018";"B000150";"1988JJ00";"     0.7";"     0.9";"     0.7";"0.6";"0.3";"";""
"152";"T001038";"80018";"B000150";"1989JJ00";"     0.6";"     0.9";"     0.7";"0.6";"0.3";"";""
"153";"T001038";"80018";"B000150";"1990JJ00";"     0.7";"     1.0";"     0.8";"0.7";"0.5";"";""
"154";"T001038";"80018";"B000150";"1991JJ00";"     0.7";"     1.1";"     0.9";"0.8";"0.4";"";""
"155";"T001038";"80018";"B000150";"1992JJ00";"     0.6";"     1.0";"     0.8";"0.7";"0.3";"";""
"156";"T001038";"80018";"B000150";"1993JJ00";"     0.6";"     1.0";"     0.8";"0.7";"0.5";"";""
"157";"T001038";"80018";"B000150";"1994JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.4";"";""
"158";"T001038";"80018";"B000150";"1995JJ00";"     0.6";"     0.9";"     0.7";"0.6";"0.4";"";""
"159";"T001038";"80018";"B000150";"1996JJ00";"     0.7";"     1.0";"     0.8";"0.7";"0.4";"";""
"160";"T001038";"80018";"B000150";"1997JJ00";"     0.6";"     0.9";"     0.7";"0.6";"0.4";"";""
"161";"T001038";"80018";"B000150";"1998JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.4";"";""
"162";"T001038";"80018";"B000150";"1999JJ00";"     0.6";"     0.9";"     0.7";"0.7";"0.3";"";""
"163";"T001038";"80018";"B000150";"2000JJ00";"     0.6";"     0.9";"     0.7";"0.7";"0.3";"";""
"164";"T001038";"80018";"B000150";"2001JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.4";"";""
"165";"T001038";"80018";"B000150";"2002JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.4";"";""
"166";"T001038";"80018";"B000150";"2003JJ00";"     0.5";"     0.9";"     0.7";"0.6";"0.4";"";""
"167";"T001038";"80018";"B000150";"2004JJ00";"     0.5";"     0.9";"     0.7";"0.7";"0.4";"";""
"168";"T001038";"80018";"B000150";"2005JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.3";"";""
"169";"T001038";"80018";"B000150";"2006JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.3";"";""
"170";"T001038";"80018";"B000150";"2007JJ00";"     0.6";"     0.9";"     0.8";"0.7";"0.4";"";""
"171";"T001038";"80018";"B000150";"2008JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.4";"";""
"172";"T001038";"80018";"B000150";"2009JJ00";"     0.6";"     1.0";"     0.8";"0.8";"0.4";"";""
"173";"T001038";"80018";"B000150";"2010JJ00";"     0.4";"     0.7";"     0.7";"0.6";"0.3";"";""
"174";"T001038";"80018";"B000150";"2011JJ00";"     0.5";"     0.8";"     0.7";"0.6";"0.3";"";""
"175";"T001038";"80018";"B000150";"2012JJ00";"     0.4";"     0.8";"     0.7";"0.6";"0.3";"";""
"176";"T001038";"80018";"B000150";"2013JJ00";"     0.5";"     0.8";"     0.7";"0.6";"0.3";"";""
"177";"T001038";"80018";"B000150";"2014JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.4";"";""
"178";"T001038";"80018";"B000150";"2015JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.4";"";""
"179";"T001038";"80018";"B000150";"2016JJ00";"     0.6";"     1.0";"     0.8";"0.8";"0.4";"";""
"180";"T001038";"80018";"B000150";"2017JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.4";"";""
"181";"T001038";"80018";"B000150";"2018JJ00";"     0.5";"     0.9";"     0.8";"0.7";"0.4";"";""
"182";"T001038";"80018";"B000150";"2019JJ00";"     0.6";"     1.0";"     0.8";"0.8";"0.4";"";""
"183";"T001038";"80018";"B000150";"1981X001";"     0.3";"     0.4";"     0.3";"0.3";"0.1";"";""
"184";"T001038";"80018";"B000150";"1985X001";"     0.3";"     0.4";"     0.3";"0.3";"0.1";"";""
"185";"T001038";"80018";"B000150";"1989X001";"     0.3";"     0.5";"     0.4";"0.4";"0.2";"";""
"186";"T001038";"80018";"B000150";"1993X001";"     0.3";"     0.5";"     0.4";"0.3";"0.2";"";""
"187";"T001038";"80018";"B000150";"1997X001";"     0.3";"     0.4";"     0.4";"0.3";"0.2";"";""
"188";"T001038";"80018";"B000150";"2001X001";"     0.3";"     0.4";"     0.4";"0.3";"0.2";"";""
"189";"T001038";"80018";"B000150";"2005X001";"     0.3";"     0.5";"     0.4";"0.4";"0.2";"";""
"190";"T001038";"80018";"B000150";"2009X001";"     0.2";"     0.4";"     0.4";"0.3";"0.2";"";""
"191";"T001038";"80018";"B000150";"2013X001";"     0.3";"     0.4";"     0.4";"0.3";"0.2";"";""
"192";"T001038";"80003";"MW00000";"1981JJ00";"     6.5";"    78.1";"    15.3";"11.2";"4.1";"";""
"193";"T001038";"80003";"MW00000";"1982JJ00";"     9.6";"    78.4";"    12.1";"9.0";"3.0";"";""
"194";"T001038";"80003";"MW00000";"1983JJ00";"     8.6";"    79.2";"    12.3";"8.1";"4.2";"";""
"195";"T001038";"80003";"MW00000";"1984JJ00";"    10.1";"    79.0";"    10.9";"8.4";"2.5";"";""
"196";"T001038";"80003";"MW00000";"1985JJ00";"     9.0";"    80.5";"    10.5";"7.0";"3.5";"";""
"197";"T001038";"80003";"MW00000";"1986JJ00";"    11.8";"    79.3";"     8.9";"6.7";"2.3";"";""
"198";"T001038";"80003";"MW00000";"1987JJ00";"    11.1";"    78.7";"    10.2";"7.8";"2.4";"";""
"199";"T001038";"80003";"MW00000";"1988JJ00";"    12.0";"    77.5";"    10.5";"7.6";"2.9";"";""
"200";"T001038";"80003";"MW00000";"1989JJ00";"    10.7";"    77.6";"    11.7";"8.9";"2.8";"";""
"201";"T001038";"80003";"MW00000";"1990JJ00";"    10.0";"    75.0";"    15.0";"9.5";"5.4";"";""
"202";"T001038";"80003";"MW00000";"1991JJ00";"    12.2";"    72.8";"    15.0";"11.9";"3.2";"";""
"203";"T001038";"80003";"MW00000";"1992JJ00";"    11.2";"    74.6";"    14.2";"10.6";"3.7";"";""
"204";"T001038";"80003";"MW00000";"1993JJ00";"     8.9";"    77.5";"    13.6";"9.2";"4.3";"";""
"205";"T001038";"80003";"MW00000";"1994JJ00";"     9.6";"    75.3";"    15.1";"9.8";"5.3";"";""
"206";"T001038";"80003";"MW00000";"1995JJ00";"     9.0";"    80.6";"    10.5";"7.2";"3.3";"";""
"207";"T001038";"80003";"MW00000";"1996JJ00";"    12.1";"    73.0";"    14.9";"10.4";"4.5";"";""
"208";"T001038";"80003";"MW00000";"1997JJ00";"     9.6";"    76.2";"    14.2";"9.6";"4.6";"";""
"209";"T001038";"80003";"MW00000";"1998JJ00";"    10.3";"    75.5";"    14.2";"10.1";"4.1";"";""
"210";"T001038";"80003";"MW00000";"1999JJ00";"    10.7";"    74.8";"    14.5";"11.0";"3.5";"";""
"211";"T001038";"80003";"MW00000";"2000JJ00";"     9.6";"    76.8";"    13.6";"10.5";"3.1";"";""
"212";"T001038";"80003";"MW00000";"2001JJ00";"     9.2";"    76.3";"    14.5";"10.4";"4.0";"";""
"213";"T001038";"80003";"MW00000";"2002JJ00";"    10.3";"    75.9";"    13.8";"9.0";"4.7";"";""
"214";"T001038";"80003";"MW00000";"2003JJ00";"     8.1";"    78.4";"    13.5";"9.4";"4.1";"";""
"215";"T001038";"80003";"MW00000";"2004JJ00";"     8.9";"    75.3";"    15.8";"11.9";"3.9";"";""
"216";"T001038";"80003";"MW00000";"2005JJ00";"     9.1";"    75.6";"    15.3";"12.3";"3.0";"";""
"217";"T001038";"80003";"MW00000";"2006JJ00";"     9.4";"    78.1";"    12.5";"9.8";"2.8";"";""
"218";"T001038";"80003";"MW00000";"2007JJ00";"     7.8";"    81.0";"    11.2";"8.0";"3.2";"";""
"219";"T001038";"80003";"MW00000";"2008JJ00";"     7.1";"    79.1";"    13.9";"10.8";"3.1";"";""
"220";"T001038";"80003";"MW00000";"2009JJ00";"     8.8";"    76.0";"    15.2";"12.1";"3.1";"";""
"221";"T001038";"80003";"MW00000";"2010JJ00";"     7.1";"    79.6";"    13.3";"10.0";"3.4";"";""
"222";"T001038";"80003";"MW00000";"2011JJ00";"     7.5";"    79.8";"    12.7";"9.7";"2.9";"";""
"223";"T001038";"80003";"MW00000";"2012JJ00";"     6.9";"    80.7";"    12.4";"9.4";"3.0";"";""
"224";"T001038";"80003";"MW00000";"2013JJ00";"     7.7";"    80.1";"    12.2";"9.4";"2.8";"";""
"225";"T001038";"80003";"MW00000";"2014JJ00";"     6.6";"    81.8";"    11.6";"8.4";"3.2";"";""
"226";"T001038";"80003";"MW00000";"2015JJ00";"     8.3";"    79.5";"    12.2";"8.4";"3.9";"";""
