Geslacht;Regio1;Regio2;Regio3;Perioden;BevolkingOp1Januari
M;Nederland;Noord-Nederland;Friesland;2008JJ00;321102
M;Nederland;Noord-Nederland;Friesland;2009JJ00;322015
M;Nederland;Noord-Nederland;Friesland;2010JJ00;322911
M;Nederland;Noord-Nederland;Friesland;2011JJ00;323439
M;Nederland;Noord-Nederland;Friesland;2012JJ00;323495
M;Nederland;Noord-Nederland;Friesland;2013JJ00;323442
M;Nederland;Noord-Nederland;Friesland;2014JJ00;323242
M;Nederland;Noord-Nederland;Friesland;2015JJ00;323398
M;Nederland;Noord-Nederland;Friesland;2016JJ00;323376
M;Nederland;Noord-Nederland;Drenthe;1960JJ00;159084
M;Nederland;Noord-Nederland;Drenthe;1961JJ00;160585
M;Nederland;Noord-Nederland;Drenthe;1962JJ00;163267
M;Nederland;Noord-Nederland;Drenthe;1963JJ00;165539
M;Nederland;Noord-Nederland;Drenthe;1964JJ00;168343
M;Nederland;Noord-Nederland;Drenthe;1965JJ00;171504
M;Nederland;Noord-Nederland;Drenthe;1966JJ00;174476
M;Nederland;Noord-Nederland;Drenthe;1967JJ00;177202
M;Nederland;Noord-Nederland;Drenthe;1968JJ00;180188
M;Nederland;Noord-Nederland;Drenthe;1969JJ00;182914
M;Nederland;Noord-Nederland;Drenthe;1970JJ00;186132
M;Nederland;Noord-Nederland;Drenthe;1971JJ00;188981
M;Nederland;Noord-Nederland;Drenthe;1972JJ00;192269
M;Nederland;Noord-Nederland;Drenthe;1973JJ00;195487
M;Nederland;Noord-Nederland;Drenthe;1974JJ00;198874
M;Nederland;Noord-Nederland;Drenthe;1975JJ00;202270
M;Nederland;Noord-Nederland;Drenthe;1976JJ00;204494
M;Nederland;Noord-Nederland;Drenthe;1977JJ00;206221
M;Nederland;Noord-Nederland;Drenthe;1978JJ00;207501
M;Nederland;Noord-Nederland;Drenthe;1979JJ00;208815
M;Nederland;Noord-Nederland;Drenthe;1980JJ00;209982
M;Nederland;Noord-Nederland;Drenthe;1981JJ00;211430
M;Nederland;Noord-Nederland;Drenthe;1982JJ00;212167
M;Nederland;Noord-Nederland;Drenthe;1983JJ00;212439
M;Nederland;Noord-Nederland;Drenthe;1984JJ00;213472
M;Nederland;Noord-Nederland;Drenthe;1985JJ00;214502
M;Nederland;Noord-Nederland;Drenthe;1986JJ00;215682
M;Nederland;Noord-Nederland;Drenthe;1987JJ00;216621
M;Nederland;Noord-Nederland;Drenthe;1988JJ00;217731
M;Nederland;Noord-Nederland;Drenthe;1989JJ00;218893
M;Nederland;Noord-Nederland;Drenthe;1990JJ00;219600
M;Nederland;Noord-Nederland;Drenthe;1991JJ00;220765
M;Nederland;Noord-Nederland;Drenthe;1992JJ00;221683
M;Nederland;Noord-Nederland;Drenthe;1993JJ00;223136
M;Nederland;Noord-Nederland;Drenthe;1994JJ00;224466
M;Nederland;Noord-Nederland;Drenthe;1995JJ00;226069
M;Nederland;Noord-Nederland;Drenthe;1996JJ00;227266
M;Nederland;Noord-Nederland;Drenthe;1997JJ00;228781
M;Nederland;Noord-Nederland;Drenthe;1998JJ00;230702
M;Nederland;Noord-Nederland;Drenthe;1999JJ00;231845
M;Nederland;Noord-Nederland;Drenthe;2000JJ00;232872
M;Nederland;Noord-Nederland;Drenthe;2001JJ00;235160
M;Nederland;Noord-Nederland;Drenthe;2002JJ00;237335
M;Nederland;Noord-Nederland;Drenthe;2003JJ00;238390
M;Nederland;Noord-Nederland;Drenthe;2004JJ00;238739
M;Nederland;Noord-Nederland;Drenthe;2005JJ00;239152
M;Nederland;Noord-Nederland;Drenthe;2006JJ00;239540
M;Nederland;Noord-Nederland;Drenthe;2007JJ00;240416
M;Nederland;Noord-Nederland;Drenthe;2008JJ00;241209
M;Nederland;Noord-Nederland;Drenthe;2009JJ00;242071
M;Nederland;Noord-Nederland;Drenthe;2010JJ00;242778
M;Nederland;Noord-Nederland;Drenthe;2011JJ00;243084
M;Nederland;Noord-Nederland;Drenthe;2012JJ00;243134
M;Nederland;Noord-Nederland;Drenthe;2013JJ00;242757
M;Nederland;Noord-Nederland;Drenthe;2014JJ00;242230
M;Nederland;Noord-Nederland;Drenthe;2015JJ00;242262
M;Nederland;Noord-Nederland;Drenthe;2016JJ00;242483
V;Nederland;Noord-Nederland;Groningen;1960JJ00;237275
V;Nederland;Noord-Nederland;Groningen;1961JJ00;238885
V;Nederland;Noord-Nederland;Groningen;1962JJ00;240796
V;Nederland;Noord-Nederland;Groningen;1963JJ00;242849
V;Nederland;Noord-Nederland;Groningen;1964JJ00;245652
V;Nederland;Noord-Nederland;Groningen;1965JJ00;248462
V;Nederland;Noord-Nederland;Groningen;1966JJ00;250933
V;Nederland;Noord-Nederland;Groningen;1967JJ00;253604
V;Nederland;Noord-Nederland;Groningen;1968JJ00;255497
V;Nederland;Noord-Nederland;Groningen;1969JJ00;256664
V;Nederland;Noord-Nederland;Groningen;1970JJ00;258375
V;Nederland;Noord-Nederland;Groningen;1971JJ00;260981
V;Nederland;Noord-Nederland;Groningen;1972JJ00;263249
V;Nederland;Noord-Nederland;Groningen;1973JJ00;265176
V;Nederland;Noord-Nederland;Groningen;1974JJ00;266467
V;Nederland;Noord-Nederland;Groningen;1975JJ00;268317
V;Nederland;Noord-Nederland;Groningen;1976JJ00;270440
V;Nederland;Noord-Nederland;Groningen;1977JJ00;272775
V;Nederland;Noord-Nederland;Groningen;1978JJ00;274645
V;Nederland;Noord-Nederland;Groningen;1979JJ00;276727
V;Nederland;Noord-Nederland;Groningen;1980JJ00;278157
V;Nederland;Noord-Nederland;Groningen;1981JJ00;280079
V;Nederland;Noord-Nederland;Groningen;1982JJ00;281465
V;Nederland;Noord-Nederland;Groningen;1983JJ00;282290
V;Nederland;Noord-Nederland;Groningen;1984JJ00;282785
V;Nederland;Noord-Nederland;Groningen;1985JJ00;282953
V;Nederland;Noord-Nederland;Groningen;1986JJ00;282677
V;Nederland;Noord-Nederland;Groningen;1987JJ00;282166
V;Nederland;Noord-Nederland;Groningen;1988JJ00;281413
V;Nederland;Noord-Nederland;Groningen;1989JJ00;280765
V;Nederland;Noord-Nederland;Groningen;1990JJ00;279991
V;Nederland;Noord-Nederland;Groningen;1991JJ00;280465
V;Nederland;Noord-Nederland;Groningen;1992JJ00;280950
V;Nederland;Noord-Nederland;Groningen;1993JJ00;281108
V;Nederland;Noord-Nederland;Groningen;1994JJ00;281540
V;Nederland;Noord-Nederland;Groningen;1995JJ00;282031
V;Nederland;Noord-Nederland;Groningen;1996JJ00;281866
V;Nederland;Noord-Nederland;Groningen;1997JJ00;281744
V;Nederland;Noord-Nederland;Groningen;1998JJ00;281782
V;Nederland;Noord-Nederland;Groningen;1999JJ00;282727
V;Nederland;Noord-Nederland;Groningen;2000JJ00;283955
V;Nederland;Noord-Nederland;Groningen;2001JJ00;285871
V;Nederland;Noord-Nederland;Groningen;2002JJ00;287591
V;Nederland;Noord-Nederland;Groningen;2003JJ00;288684
V;Nederland;Noord-Nederland;Groningen;2004JJ00;289154
V;Nederland;Noord-Nederland;Groningen;2005JJ00;289528
V;Nederland;Noord-Nederland;Groningen;2006JJ00;288953
V;Nederland;Noord-Nederland;Groningen;2007JJ00;288823
V;Nederland;Noord-Nederland;Groningen;2008JJ00;288781
V;Nederland;Noord-Nederland;Groningen;2009JJ00;289111
V;Nederland;Noord-Nederland;Groningen;2010JJ00;290173
V;Nederland;Noord-Nederland;Groningen;2011JJ00;291112
V;Nederland;Noord-Nederland;Groningen;2012JJ00;292121
V;Nederland;Noord-Nederland;Groningen;2013JJ00;292430
V;Nederland;Noord-Nederland;Groningen;2014JJ00;292908
V;Nederland;Noord-Nederland;Groningen;2015JJ00;293102
V;Nederland;Noord-Nederland;Groningen;2016JJ00;292663
V;Nederland;Noord-Nederland;Friesland;1960JJ00;238140
V;Nederland;Noord-Nederland;Friesland;1961JJ00;239072
V;Nederland;Noord-Nederland;Friesland;1962JJ00;240845
V;Nederland;Noord-Nederland;Friesland;1963JJ00;242733
V;Nederland;Noord-Nederland;Friesland;1964JJ00;244635
V;Nederland;Noord-Nederland;Friesland;1965JJ00;246965
V;Nederland;Noord-Nederland;Friesland;1966JJ00;249461
V;Nederland;Noord-Nederland;Friesland;1967JJ00;252316
V;Nederland;Noord-Nederland;Friesland;1968JJ00;254793
V;Nederland;Noord-Nederland;Friesland;1969JJ00;257555
V;Nederland;Noord-Nederland;Friesland;1970JJ00;260280
V;Nederland;Noord-Nederland;Friesland;1971JJ00;262891
V;Nederland;Noord-Nederland;Friesland;1972JJ00;265708
V;Nederland;Noord-Nederland;Friesland;1973JJ00;269416
V;Nederland;Noord-Nederland;Friesland;1974JJ00;273679
V;Nederland;Noord-Nederland;Friesland;1975JJ00;276969
V;Nederland;Noord-Nederland;Friesland;1976JJ00;280504
V;Nederland;Noord-Nederland;Friesland;1977JJ00;283511
V;Nederland;Noord-Nederland;Friesland;1978JJ00;286985
V;Nederland;Noord-Nederland;Friesland;1979JJ00;289872
V;Nederland;Noord-Nederland;Friesland;1980JJ00;292992
V;Nederland;Noord-Nederland;Friesland;1981JJ00;295692
V;Nederland;Noord-Nederland;Friesland;1982JJ00;297555
V;Nederland;Noord-Nederland;Friesland;1983JJ00;299230
V;Nederland;Noord-Nederland;Friesland;1984JJ00;300334
V;Nederland;Noord-Nederland;Friesland;1985JJ00;300585
V;Nederland;Noord-Nederland;Friesland;1986JJ00;300865
V;Nederland;Noord-Nederland;Friesland;1987JJ00;301370
V;Nederland;Noord-Nederland;Friesland;1988JJ00;301288
V;Nederland;Noord-Nederland;Friesland;1989JJ00;301296
V;Nederland;Noord-Nederland;Friesland;1990JJ00;301352
V;Nederland;Noord-Nederland;Friesland;1991JJ00;301536
V;Nederland;Noord-Nederland;Friesland;1992JJ00;302391
V;Nederland;Noord-Nederland;Friesland;1993JJ00;303307
V;Nederland;Noord-Nederland;Friesland;1994JJ00;304608
V;Nederland;Noord-Nederland;Friesland;1995JJ00;305767
V;Nederland;Noord-Nederland;Friesland;1996JJ00;306973
V;Nederland;Noord-Nederland;Friesland;1997JJ00;308394
V;Nederland;Noord-Nederland;Friesland;1998JJ00;309780
V;Nederland;Noord-Nederland;Friesland;1999JJ00;311184
V;Nederland;Noord-Nederland;Friesland;2000JJ00;312996
V;Nederland;Noord-Nederland;Friesland;2001JJ00;315948
V;Nederland;Noord-Nederland;Friesland;2002JJ00;318602
V;Nederland;Noord-Nederland;Friesland;2003JJ00;320304
V;Nederland;Noord-Nederland;Friesland;2004JJ00;321410
V;Nederland;Noord-Nederland;Friesland;2005JJ00;321742
V;Nederland;Noord-Nederland;Friesland;2006JJ00;321619
V;Nederland;Noord-Nederland;Friesland;2007JJ00;321826
V;Nederland;Noord-Nederland;Friesland;2008JJ00;322087
V;Nederland;Noord-Nederland;Friesland;2009JJ00;322796
V;Nederland;Noord-Nederland;Friesland;2010JJ00;323394
V;Nederland;Noord-Nederland;Friesland;2011JJ00;323843
V;Nederland;Noord-Nederland;Friesland;2012JJ00;323719
V;Nederland;Noord-Nederland;Friesland;2013JJ00;323420
V;Nederland;Noord-Nederland;Friesland;2014JJ00;323075
V;Nederland;Noord-Nederland;Friesland;2015JJ00;322859
V;Nederland;Noord-Nederland;Friesland;2016JJ00;322664
V;Nederland;Noord-Nederland;Drenthe;1960JJ00;152112
V;Nederland;Noord-Nederland;Drenthe;1961JJ00;153839
V;Nederland;Noord-Nederland;Drenthe;1962JJ00;156352
V;Nederland;Noord-Nederland;Drenthe;1963JJ00;158978
V;Nederland;Noord-Nederland;Drenthe;1964JJ00;161649
V;Nederland;Noord-Nederland;Drenthe;1965JJ00;164703
V;Nederland;Noord-Nederland;Drenthe;1966JJ00;167804
V;Nederland;Noord-Nederland;Drenthe;1967JJ00;170799
V;Nederland;Noord-Nederland;Drenthe;1968JJ00;173936
V;Nederland;Noord-Nederland;Drenthe;1969JJ00;176942
V;Nederland;Noord-Nederland;Drenthe;1970JJ00;180458
V;Nederland;Noord-Nederland;Drenthe;1971JJ00;183599
V;Nederland;Noord-Nederland;Drenthe;1972JJ00;187326
V;Nederland;Noord-Nederland;Drenthe;1973JJ00;190913
V;Nederland;Noord-Nederland;Drenthe;1974JJ00;194865
V;Nederland;Noord-Nederland;Drenthe;1975JJ00;198613
V;Nederland;Noord-Nederland;Drenthe;1976JJ00;201430
V;Nederland;Noord-Nederland;Drenthe;1977JJ00;203653
V;Nederland;Noord-Nederland;Drenthe;1978JJ00;205550
V;Nederland;Noord-Nederland;Drenthe;1979JJ00;207163
V;Nederland;Noord-Nederland;Drenthe;1980JJ00;208497
V;Nederland;Noord-Nederland;Drenthe;1981JJ00;210098
V;Nederland;Noord-Nederland;Drenthe;1982JJ00;211460
V;Nederland;Noord-Nederland;Drenthe;1983JJ00;212281
V;Nederland;Noord-Nederland;Drenthe;1984JJ00;213864
V;Nederland;Noord-Nederland;Drenthe;1985JJ00;214961
V;Nederland;Noord-Nederland;Drenthe;1986JJ00;216315
V;Nederland;Noord-Nederland;Drenthe;1987JJ00;217417
V;Nederland;Noord-Nederland;Drenthe;1988JJ00;218855
V;Nederland;Noord-Nederland;Drenthe;1989JJ00;220173
V;Nederland;Noord-Nederland;Drenthe;1990JJ00;221428
V;Nederland;Noord-Nederland;Drenthe;1991JJ00;222745
V;Nederland;Noord-Nederland;Drenthe;1992JJ00;223913
V;Nederland;Noord-Nederland;Drenthe;1993JJ00;225120
V;Nederland;Noord-Nederland;Drenthe;1994JJ00;226943
V;Nederland;Noord-Nederland;Drenthe;1995JJ00;228795
V;Nederland;Noord-Nederland;Drenthe;1996JJ00;230050
V;Nederland;Noord-Nederland;Drenthe;1997JJ00;232036
V;Nederland;Noord-Nederland;Drenthe;1998JJ00;233970
V;Nederland;Noord-Nederland;Drenthe;1999JJ00;235248
V;Nederland;Noord-Nederland;Drenthe;2000JJ00;236934
V;Nederland;Noord-Nederland;Drenthe;2001JJ00;239346
V;Nederland;Noord-Nederland;Drenthe;2002JJ00;241464
V;Nederland;Noord-Nederland;Drenthe;2003JJ00;242864
V;Nederland;Noord-Nederland;Drenthe;2004JJ00;243676
V;Nederland;Noord-Nederland;Drenthe;2005JJ00;244217
V;Nederland;Noord-Nederland;Drenthe;2006JJ00;244941
V;Nederland;Noord-Nederland;Drenthe;2007JJ00;245781
V;Nederland;Noord-Nederland;Drenthe;2008JJ00;246926
V;Nederland;Noord-Nederland;Drenthe;2009JJ00;247847
V;Nederland;Noord-Nederland;Drenthe;2010JJ00;248203
V;Nederland;Noord-Nederland;Drenthe;2011JJ00;248327
V;Nederland;Noord-Nederland;Drenthe;2012JJ00;247673
V;Nederland;Noord-Nederland;Drenthe;2013JJ00;247161
V;Nederland;Noord-Nederland;Drenthe;2014JJ00;246758
V;Nederland;Noord-Nederland;Drenthe;2015JJ00;246314
V;Nederland;Noord-Nederland;Drenthe;2016JJ00;246146
